Nombre;Latitud;Longitud;Dependencia;Region;Comuna;Ruralidad;Matricula_Total
Escuela Esp. San Nectario;-33,470215;-70,613205;Part. Subvencionado;RM;Ñuñoa;Urbano;103
Escuela Municipal Valle De Luna;-33,36751982;-70,74413397;Serv. Local Educacion;RM;Quilicura;Urbano;357
Pierre Teilhard De Chardin;-33,53114231;-70,58462574;Part. Subvencionado;RM;La Florida;Urbano;517
Col.Particular San Valentin De Maipu;-33,50822202;-70,7421403;Part. Subvencionado;RM;Maipú;Urbano;270
Colegio Santa Maria De Maipu;-33,48429489;-70,74619278;Part. Subvencionado;RM;Maipú;Urbano;1967
Colegio Amancay De La Florida;-33,5380661;-70,5772881;Part. Subvencionado;RM;La Florida;Urbano;194
Escuela Bas. Y Esp. N_ 115 Renacer;-33,62429145;-70,57911553;Part. Subvencionado;RM;Puente Alto;Urbano;623
Esc.Esp.Oncol.Hosp.Roberto Del Rio;-33,41736379;-70,65467158;Part. Subvencionado;RM;Independencia;Urbano;24
Esc. Esp. Ntra Sra. Del Buen Consejo;-33,464355;-70,73456;Part. Subvencionado;RM;Pudahuel;Urbano;111
Colegio Especial Fundac.Nuestros Hijos;-33,48418806;-70,65669683;Part. Subvencionado;RM;San Miguel;Urbano;24
Esc. Basica N_ 116 Oncolog. Dr. Sotero Del;-33,57680007;-70,58151167;Part. Subvencionado;RM;Puente Alto;Urbano;58
Escuela Part.Especial Corpameg;-33,48450581;-70,65644167;Part. Subvencionado;RM;San Miguel;Urbano;37
Instituto Nacional De Rehabilitacion Pac;-33,507904;-70,55383;Part. Subvencionado;RM;Peñalolén;Urbano;133
Colegio Hospital San Borja Arriaran;-33,46096668;-70,64268193;Part. Subvencionado;RM;Santiago;Urbano;64
Colegio Poliv. Geronimo De Alderete;-33,45847876;-70,75965157;Part. Subvencionado;RM;Pudahuel;Urbano;2017
Esc. Especial San Antonio De Puente Alto;-33,60756;-70,52301;Part. Subvencionado;RM;Puente Alto;Urbano;278
Esc. Especial Artesanos De La Vida;-33,41065;-70,743866;Part. Subvencionado;RM;Renca;Urbano;45
Extremadura De Puente Alto;-33,58709107;-70,55654465;Part. Subvencionado;RM;Puente Alto;Urbano;994
Esc. Espeicial Voces Ii;-33,405937;-70,72208;Part. Subvencionado;RM;Renca;Urbano;34
Colegio Alma Mater;-33,55679441;-70,61990952;Part. Subvencionado;RM;La Granja;Urbano;1017
Esc. Especial 120 Multiverso;-33,626083;-70,60793;Part. Subvencionado;RM;Puente Alto;Urbano;91
Colegio Monte De Asis;-33,58499799;-70,56357764;Part. Subvencionado;RM;Puente Alto;Urbano;1149
Escuela Basica Rayito De Luz De Quilicura;-33,3688604;-70,736824;Part. Subvencionado;RM;Quilicura;Urbano;442
Esc. Part. San Fco. De Asis Para Ninos Sordos;-33,45665447;-70,63247711;Part. Subvencionado;RM;Santiago;Urbano;28
Escuela Especial Madre Teresa De Calcuta;-33,531044;-70,69807;Part. Subvencionado;RM;Lo Espejo;Urbano;75
Esc.Bas.Y Esp.Integral Sta. Rosa De Chena.;-33,56172551;-70,79215766;Part. Subvencionado;RM;Padre Hurtado;Urbano;213
Esc. Esp. Part Serafin De Macul;-33,490395;-70,59614;Part. Subvencionado;RM;Macul;Urbano;63
Liceo De Adultos Poeta Vicente Huidobro;-33,36586;-70,746765;Serv. Local Educacion;RM;Quilicura;Urbano;511
Escuela Especial Palabras Magicas;-33,40875;-70,70939;Part. Subvencionado;RM;Quinta Normal;Urbano;72
Colegio De Adultos Gladys Lazo;-33,44678;-70,643166;Part. Subvencionado;RM;Santiago;Urbano;328
Colegio Centro Educacional Altair;-33,56229208;-70,79081618;Part. Subvencionado;RM;Padre Hurtado;Urbano;1057
Colegio Alicura;-33,46866185;-70,5600695;Municipal;RM;Peñalolén;Urbano;33
Colegio Poliv. Almendral De La Pintana;-33,5958222;-70,62030254;Part. Subvencionado;RM;La Pintana;Urbano;955
Escuela Inmaculada Concepcion;-33,20513141;-70,6780651;Part. Subvencionado;RM;Colina;Urbano;614
Escuela Basica The Forest College;-33,55427652;-70,67197845;Part. Subvencionado;RM;El Bosque;Urbano;1277
Colegio Premilitar General San Martin De Maipu;-33,52168114;-70,77094562;Part. Subvencionado;RM;Maipú;Urbano;346
Esc.Especial Los Copihues Del Bosque;-33,562286;-70,67055;Part. Subvencionado;RM;El Bosque;Urbano;130
Esc.Esp.El Principito De El Bosque;-33,580757;-70,6752;Part. Subvencionado;RM;El Bosque;Urbano;133
Escuela Especial De Lenguaje Rayun;-33,507484;-70,65433;Part. Subvencionado;RM;San Miguel;Urbano;132
Colegio Antil Mawida;-33,54421013;-70,66817293;Part. Subvencionado;RM;La Cisterna;Urbano;800
Colegio Part. De Adultos Itsa;-33,508804;-70,76655;Part. Subvencionado;RM;Maipú;Urbano;186
Profesor Francisco Vergara Bobadilla;-33,53227;-70,57412;Municipal;RM;La Florida;Urbano;244
Esc.Parvulos Particular  Los Angelitos;-33,4557;-70,64301;Part. Subvencionado;RM;Santiago;Urbano;87
Escuela Esp. Part. Educ. Laudelina Araneda;-33,598537;-70,70695;Part. Subvencionado;RM;San Bernardo;Urbano;271
Escuela Especial Santiago Apostol;-33,43608236;-70,6811592;Municipal;RM;Santiago;Urbano;76
Escuela Particular Salvador Dali;-33,5400313;-70,77689954;Part. Subvencionado;RM;Maipú;Urbano;462
Escuela Basica Particular Bremen;-33,55890876;-70,65738069;Part. Subvencionado;RM;El Bosque;Urbano;182
Escuela Especial Bauliruriru;-33,411216;-70,541358;Part. Subvencionado;RM;Las Condes;Urbano;61
Colegio Poliv. Cardenal Raul Silva Henriquez;-33,61016534;-70,55280896;Part. Subvencionado;RM;Puente Alto;Urbano;1662
Esc.Part.Especial La Concepcion De Colina;-33,204285;-70,67813;Part. Subvencionado;RM;Colina;Urbano;3
Esuela Especial De Lenguaje Piramide;-33,50355;-70,63565;Part. Subvencionado;RM;San Joaquín;Urbano;98
Escuela Particular  Comunicate;-33,50666;-70,75364;Part. Subvencionado;RM;Maipú;Urbano;45
Escuela Basica Particular Esjelavi;-33,613345;-70,64345619;Part. Subvencionado;RM;La Pintana;Urbano;161
Esc. Bas. Y Esp. Centro Integral Altair De Ba;-33,23598319;-70,81352708;Part. Subvencionado;RM;Lampa;Urbano;597
Esc. De Parv. Y Esp. Luis Sembrador;-33,49125;-70,68139;Part. Subvencionado;RM;Pedro Aguirre Cerda;Urbano;116
Escuela Basica Particular El Rey;-33,52653277;-70,76910401;Part. Subvencionado;RM;Maipú;Urbano;132
Esc. Espec. Lenguaje Los Chiquitines;-33,48912;-70,68413;Part. Subvencionado;RM;Pedro Aguirre Cerda;Urbano;68
Escuela Especial Y Lenguaje Rocio;-33,491367;-70,66927;Part. Subvencionado;RM;Pedro Aguirre Cerda;Urbano;92
Escuela Especial Particular Ludilen;-33,5583;-70,665215;Part. Subvencionado;RM;El Bosque;Urbano;59
Colegio Nuevos Castanos De Maipu;-33,50873779;-70,76725097;Part. Subvencionado;RM;Maipú;Urbano;222
Esc.Espec.Sagrada Familia De Maipu;-33,506725;-70,7587;Part. Subvencionado;RM;Maipú;Urbano;139
Escuela Especial Stella Maris De Nunoa;-33,46011;-70,61155;Part. Subvencionado;RM;Ñuñoa;Urbano;33
Centro Educacional Laura Vicuna;-33,40306366;-70,71002213;Part. Subvencionado;RM;Renca;Urbano;687
Colegio Paul Harris School;-33,57514961;-70,68814461;Part. Subvencionado;RM;El Bosque;Urbano;854
Escuela Especial Arcoiris De El Bosque;-33,548214;-70,674255;Part. Subvencionado;RM;El Bosque;Urbano;43
Escuela Especial Todos Los Santos;-33,59305;-70,56854;Part. Subvencionado;RM;Puente Alto;Urbano;166
Escuela Básica 1737 Los Alerces De Maipú;-33,53906923;-70,77792176;Serv. Local Educacion;RM;Maipú;Urbano;434
Escuela Puerto Futuro;-33,46152458;-70,74601784;Serv. Local Educacion;RM;Pudahuel;Urbano;291
Colegio Puelmapu;-33,47068132;-70,54559766;Part. Subvencionado;RM;Peñalolén;Urbano;402
Esc. Esp. Part, Palomar De Quilicura;-33,36685411;-70,72182589;Part. Subvencionado;RM;Quilicura;Urbano;105
Esc. Bas. Y Esp. Part. Kimkelen;-33,58841596;-70,67703418;Part. Subvencionado;RM;San Bernardo;Urbano;360
Escuela  Espec. Virgen De Las Penas;-33,473824;-70,67109;Part. Subvencionado;RM;Santiago;Urbano;0
Centro Educacional De Adultos Rafael Sotomayo;-33,51634;-70,58013;Part. Subvencionado;RM;La Florida;Urbano;133
Escuela Basica Quitalmahue;-33,63258147;-70,62455389;Part. Subvencionado;RM;Puente Alto;Urbano;473
Esc. Espec. Part. Las Camelias;-33,38333;-70,669754;Part. Subvencionado;RM;Conchalí;Urbano;74
Instituto Cristiano Luis Gandarillas;-33,50439768;-70,75524183;Part. Subvencionado;RM;Maipú;Urbano;705
Colegio Polivalente Antares;-33,62512164;-70,58110658;Part. Subvencionado;RM;Puente Alto;Urbano;185
Escuela Basica Part. Cristiano De Los Heroes;-33,50988153;-70,78879816;Part. Subvencionado;RM;Maipú;Urbano;349
Esc. Especial Part. Marta Y Berta;-33,538975;-70,60164;Part. Subvencionado;RM;La Florida;Urbano;52
Escuela Basica Raices Altazor;-33,53227153;-70,55365239;Part. Subvencionado;RM;La Florida;Urbano;236
Liceo Municipal De Adulto Miguel Campino Larrain;-33,81191;-70,7426;Municipal;RM;Paine;Urbano;190
Escuela Raimapu-Tierra Florida;-33,53200866;-70,58222615;Part. Subvencionado;RM;La Florida;Urbano;764
Colegio Alamiro Perez;-33,53729379;-70,61463162;Part. Subvencionado;RM;La Granja;Urbano;49
Colegio Sebastian El Cano San Bernardo;-33,60772274;-70,69746949;Part. Subvencionado;RM;San Bernardo;Urbano;825
Colegio Particular Melford College;-33,36191173;-70,72896112;Part. Subvencionado;RM;Quilicura;Urbano;898
Esc. Part. Cristiano Oriente;-33,47480475;-70,74943857;Part. Subvencionado;RM;Maipú;Urbano;419
Escuela Especial Particular Kimantu;-33,58577;-70,77062;Part. Subvencionado;RM;Calera De Tango;Urbano;61
Liceo Bicentenario De Excelencia Patricio Mekis De Padre Hurtado;-33,57483402;-70,8104399;Part. Subvencionado;RM;Padre Hurtado;Urbano;1656
Escuela Especial Del Lenguaje Romiyanco;-33,72994;-70,7463;Part. Subvencionado;RM;Buin;Urbano;146
Escuela Especial Jesus Del Bosque;-33,549347;-70,65445;Part. Subvencionado;RM;El Bosque;Urbano;100
Esc. De Parvulos Part 103 El Principito De Lo;-33,59352;-70,69947;Part. Subvencionado;RM;San Bernardo;Urbano;0
Esc. Basica La Pradera De Curacavi;-33,40687206;-71,14871271;Part. Subvencionado;RM;Curacaví;Urbano;264
Escuela Especial Capullito;-33,57502;-70,68466;Part. Subvencionado;RM;El Bosque;Urbano;58
